,電影,ID
0,錢不夠用2,3026
1,一首搖滾上月球,4887
2,尼羅河謀殺案,10897
3,蝙蝠俠,10904
4,一家之主,11373
5,告白,11390
6,王者理查,11442
7,咒,11477
8,蜘蛛人：無家日,11479
9,西城故事,11519
10,夜路,11526
11,素還真,11545
12,秘境探險,11588
13,偶然與想像,11597
14,娶我吧！,11755
15,再說一次我願意,11888
16,2gether電影版：只因我們天生一對,11900
17,天堂計劃,11939
18,致命最前線,11951
19,金牌特務：金士曼起源,11952
20,屁屁偵探：舒芙蕾島的秘密,11993
21,音速小子2,11999
22,怪獸與鄧不利多的秘密,12030
23,壞蛋聯盟,12033
24,失落謎城,12044
25,完美的敵人,12050
26,逍遙上路,12130
27,奇異博士2：失控多重宇宙,12136
28,我的神秘狼朋友,12138
29,我吃了那男孩一整年的早餐,12202
30,櫻櫻大日本,12288
31,垃圾頭,12322
32,劇場版 咒術迴戰 0,12385
33,頭七,12430
34,記憶,12442
35,波米叔叔的前世今生,12443
36,黑光行動,12444
37,遊走塵市間,12566
38,獵殺戰場,12606
39,全面掃蕩,12648
40,售命,12667
41,少年吔,12687
42,漂浪人生,12775
43,劫獄救援,12782
44,電影版 如果30歲還是處男，似乎就能成為魔法師,12791
45,媽的多重宇宙,12804
46,鳶,12833
47,超吉任務,12890
48,記憶殺神,12892
49,非甜蜜生活,12899
50,燃燒的劍,12900
51,死間行動,12904
52,重慶森林,12908
53,決戰星期天,12909
54,越驚,12910
55,輪到你了 劇場版,12921
56,藥命回憶,12922
57,真愛超能力,12929
58,漁港的肉子,12973
59,你好，李煥英,12974
60,我不是英雄,12975
61,超跑斯特拉,12978
62,鹿王,13011
63,海岬的迷途之家,13052
64,邊緣行者,13054
65,死亡預報,13055
66,鯊顫,13077
67,空氣殺人,13152
68,猛鬼大學：第2學期,13162
69,詭棋,13179
70,奪冠,13187
71,阿哈：帶我走,13188
72,柏格曼的島,13191
73,格瑞特真相,13201
74,親愛的童伴,13214
